"review_date";"review_link"
2025-10-03;"https://www.whiskynotes.be/2025/caol-ila/whiskydudes-secret-highland-campbeltown-caol-ila/"
2025-10-02;"https://www.whiskynotes.be/2025/armagnac/9-armagnacs-esperance-garreau-lous-mouracs-laubade-pouy/"
2025-10-01;"https://www.whiskynotes.be/2025/world/bus-single-malt/"
2025-09-30;"https://www.whiskynotes.be/2025/glenfarclas/tiffanys-ny-bar-glenfarclas-glenallachie-ardbeg/"
2025-09-29;"https://www.whiskynotes.be/2025/cognac/cognac-francois-voyer-lot-46/"
2025-09-26;"https://www.whiskynotes.be/2025/bruichladdich/bruichladdich-17-year-old-1990s/"
2025-09-25;"https://www.whiskynotes.be/2025/springbank/milroys-springbank-tormore-craigellachie-allt-a-bhainne/"
2025-09-24;"https://www.whiskynotes.be/2025/highland-park/highland-park-cask-strength/"
2025-09-23;"https://www.whiskynotes.be/2025/bunnahabhain/rare-find-braeval-annandale-ledaig-bunnahabhain/"
2025-09-22;"https://www.whiskynotes.be/2025/rum/hampden-fino-oloroso-px-madeira-colours-of-rum/"
2025-09-22;"https://www.whiskynotes.be/2025/rum/hampden-fino-oloroso-px-madeira-colours-of-rum/"
2025-09-19;"https://www.whiskynotes.be/2025/caol-ila/campbeltown-copperworks-williamson-whiskyfacile/"
2025-09-18;"https://www.whiskynotes.be/2025/irish-whiskey/cooley-2001-cooley-8-years/"
2025-09-17;"https://www.whiskynotes.be/2025/bladnoch/bladnoch-alinta-review/"
2025-09-16;"https://www.whiskynotes.be/2025/irish-whiskey/connemara-1992-cask-3767/"
2025-09-15;"https://www.whiskynotes.be/2025/irish-whiskey/redbreast-tawny-port-cask-edition/"
2025-09-12;"https://www.whiskynotes.be/2025/blends/elements-of-islay-fireside-beach-bonfire/"
2025-09-11;"https://www.whiskynotes.be/2025/ncnean/ncnean-2017-calvados-2020-amarone/"
2025-09-10;"https://www.whiskynotes.be/2025/laphroaig/laphroaig-30-years-2024/"
2025-09-09;"https://www.whiskynotes.be/2025/caol-ila/10-decadent-drinks-whiskyland-reviews/"
2025-09-08;"https://www.whiskynotes.be/2025/cognac/6-cognac-laurichesse-75-voyer-85-pasquet-99/"
2025-09-06;"https://www.whiskynotes.be/2025/clynelish/tomatin-1966-lochside-1963-clynelish-1971-dalmore-1966/"
2025-09-05;"https://www.whiskynotes.be/2025/bruichladdich/ben-nevis-port-charlotte-stratmill-islay-malt-maltbarn/"
2025-09-04;"https://www.whiskynotes.be/2025/highland-park/ben-nevis-blair-athol-old-orkney-royal-mile-whiskies/"
2025-09-03;"https://www.whiskynotes.be/2025/linkwood/ben-nevis-1996-1997-linkwood-2010-the-taste-of-whisky/"
2025-09-02;"https://www.whiskynotes.be/2025/bowmore/ben-nevis-1996-bowmore-2002-whisky-dreamers/"
2025-09-01;"https://www.whiskynotes.be/2025/caol-ila/ben-nevis-caol-ila-inchfad-liquid-treasures/"
2025-08-29;"https://www.whiskynotes.be/2025/caol-ila/cut-your-wolf-loose-miltonduff-tamnavulin-caol-ila/"
2025-08-28;"https://www.whiskynotes.be/2025/strathmill/strathmill-1996-halcyon-spirits/"
2025-08-26;"https://www.whiskynotes.be/2025/rum/6-jamaican-rums-wp-hampden-clarendon/"
2025-08-25;"https://www.whiskynotes.be/2025/world/stauning-el-clasico/"
2025-08-22;"https://www.whiskynotes.be/2025/hazelburn/hazelburn-8-year-old-oloroso/"
2025-08-21;"https://www.whiskynotes.be/2025/blends/peat-chronicles-27-years-murray-mcdavid-germany/"
2025-08-19;"https://www.whiskynotes.be/2025/bowmore/bowmore-2016-douglas-laing-deinwhisky/"
2025-08-18;"https://www.whiskynotes.be/2025/glen-moray/highland-park-20-glen-moray-31-years-decadent-drinks/"
2025-08-12;"https://www.whiskynotes.be/2025/glenallachie/glenallachie-2007-cask-6453-whisky-exchange/"
2025-08-11;"https://www.whiskynotes.be/2025/longmorn/longmorn-18-years-2022/"
2025-08-08;"https://www.whiskynotes.be/2025/glen-ord/ben-nevis-aberfeldy-macduff-glen-ord-campbeltown-milroys-of-soho/"
2025-08-07;"https://www.whiskynotes.be/2025/longrow/longrow-100-proof-2025/"
2025-08-05;"https://www.whiskynotes.be/2025/arran/family-silver-secret-islay-peated-arran-deinwhisky/"
2025-08-04;"https://www.whiskynotes.be/2025/isle-of-raasay/raasay-2019-cask-557-maclean-foundation/"
2025-08-01;"https://www.whiskynotes.be/2025/glenfarclas/glenlitigious-ben-nevis-westport-decadent-drams/"
2025-07-31;"https://www.whiskynotes.be/2025/blends/cadenheads-7-stars-blended-whisky/"
2025-07-29;"https://www.whiskynotes.be/2025/world/tennessee-2003-smogen-2014-wu-dram-clan/"
2025-07-28;"https://www.whiskynotes.be/2025/bruichladdich/bruichladdich-black-art-11-1/"
2025-07-25;"https://www.whiskynotes.be/2025/bunnahabhain/bunnahabhain-turas-math-1-feis-ile-2025/"
2025-07-24;"https://www.whiskynotes.be/2025/japan-whisky/tenjaku-pure-malt/"
2025-07-22;"https://www.whiskynotes.be/2025/glendronach/glendronach-ode-to-the-valley-embers-dark/"
2025-07-21;"https://www.whiskynotes.be/2025/ardmore/ardmore-2009-seventeen-smoky-stills-2017-claxtons/"
2025-07-18;"https://www.whiskynotes.be/2025/world/thy-beechwood-smoked-caramel-malt-bog-bourbon-px/"
2025-07-17;"https://www.whiskynotes.be/2025/tormore/tormore-blueprint-10-year-old/"
2025-07-15;"https://www.whiskynotes.be/2025/rum/tdl-2002-ester-hunter-no-3-4-the-whisky-jury/"
2025-07-14;"https://www.whiskynotes.be/2025/other-spirits/calvados-19-years-1987-1964-malternative-belgium/"
2025-07-11;"https://www.whiskynotes.be/2025/braes-of-glenlivet/deanston-braeval-croftengea-the-whisky-agency/"
2025-07-10;"https://www.whiskynotes.be/2025/ardbeg/red-bag-islay-single-malt-2020-dramfool/"
2025-07-08;"https://www.whiskynotes.be/2025/springbank/springbank-8-years-local-barley-2025/"
2025-07-07;"https://www.whiskynotes.be/2025/armagnac/6-armagnacs-garreau-danis-darroze-marquesteau/"
2025-07-04;"https://www.whiskynotes.be/2025/ardbeg/ben-nevis-1998-kildalton-2003-whisky-jury/"
2025-07-03;"https://www.whiskynotes.be/2025/glenfarclas/glenfarclas-2014-easter-edition/"
